ID;AREA;TM;TBP;HLM;EE;DI;TE;DA;AE;AR;RUE
1;N1;60,23;70,54;67,79;44,85;29,75;61,78;14,68;49,47;52,99;14,20
2;N1;73,24;83,49;79,77;79,57;61,45;66,58;99,70;50,65;54,99;95,99
3;N1;89,35;92,75;94,12;90,56;86,64;61,11;92,90;47,61;51,41;89,53
4;N1;63,06;69,75;67,32;68,95;46,14;89,42;99,70;67,31;74,95;96,51
5;N1;56,39;66,55;65,14;48,27;37,42;85,56;27,87;67,41;72,93;26,29
6;N1;;64,74;61,89;47,72;27,34;67,11;40,94;52,63;55,60;39,13
7;N1;68,70;70,25;71,59;65,57;29,90;46,87;95,06;40,11;23,45;91,41
8;N1;74,27;77,08;80,61;77,41;57,12;73,71;99,70;55,59;63,41;96,69
9;N1;65,86;66,67;70,10;51,31;30,75;56,78;39,69;43,42;47,75;15,00
10;N1;63,08;66,83;65,70;62,61;48,34;76,32;75,10;59,71;64,36;72,73
11;N1;76,40;84,75;84,97;83,89;73,15;79,04;99,70;64,23;67,38;45,00
12;N1;58,95;68,57;67,34;64,40;50,63;44,98;75,72;33,91;13,23;73,28
13;N1;71,79;77,94;79,34;54,45;41,01;88,38;22,62;70,71;76,75;78,00
14;N1;60,11;65,10;64,89;46,82;37,14;69,81;22,95;55,85;59,85;21,47
15;N1;53,85;62,49;58,18;56,43;10,79;76,44;99,70;60,06;63,61;96,26
16;N1;72,19;74,77;77,01;54,15;35,76;86,51;32,57;68,42;74,76;31,57
17;N1;75,74;85,49;82,97;59,39;39,34;64,98;33,79;48,75;55,36;31,84
18;N1;77,49;83,06;83,93;65,72;45,46;77,17;54,96;61,27;67,09;53,29
19;N1;87,41;89,81;90,49;80,57;49,84;55,06;99,70;45,46;46,63;95,81
20;N1;49,92;50,60;54,51;62,55;49,28;69,43;99,70;52,28;23,45;96,40
21;N1;65,97;72,59;72,50;62,82;66,09;61,57;44,29;48,80;51,70;87,00
22;N1;71,38;80,71;80,79;73,67;73,55;59,44;65,29;46,77;51,01;63,06
23;N1;43,91;45,15;46,32;36,82;43,94;71,02;13,33;54,45;61,41;12,18
24;N1;88,28;94,24;95,07;86,73;64,15;69,35;98,94;54,59;59,83;95,47
25;N1;63,71;68,89;67,95;50,96;25,25;55,13;44,92;43,73;46,73;43,47
26;N1;68,88;71,27;71,38;65,97;28,77;60,24;99,70;47,12;49,51;96,47
27;N1;63,97;65,93;65,19;43,84;27,84;68,47;20,22;55,03;33,46;19,14
28;N1;95,16;98,60;98,46;87,25;58,55;70,44;99,70;55,47;59,28;96,35
29;N1;60,16;63,64;62,67;53,69;12,54;80,71;80,22;62,43;69,84;77,47
30;N1;51,75;60,59;59,06;42,94;43,87;69,14;11,85;55,43;57,41;10,50
31;N1;77,62;87,67;85,77;85,05;71,32;68,45;99,70;52,85;58,88;96,05
32;N1;81,19;87,04;87,45;82,70;80,42;55,07;80,54;42,70;45,37;77,74
33;N1;65,49;67,70;67,09;64,27;31,73;65,88;96,69;54,24;15,68;93,65
34;N1;73,51;77,43;75,69;64,60;66,47;72,60;43,71;57,77;62,30;41,58
35;N1;96,50;97,86;99,38;85,49;65,90;81,70;83,05;61,68;68,43;80,30
36;N1;71,72;74,01;75,96;66,16;33,58;70,49;86,19;53,46;59,40;83,49
37;N1;85,52;87,74;89,94;78,81;41,98;63,55;99,70;52,32;52,84;96,09
38;N1;77,48;87,04;85,43;75,19;37,97;56,98;96,38;45,84;47,99;92,84
39;N1;63,56;67,98;66,23;66,11;36,94;53,51;99,70;43,00;13,29;96,58
40;N1;72,05;76,02;76,87;70,46;74,09;64,37;60,70;49,43;54,34;58,38
41;N1;75,39;82,82;80,10;77,11;58,37;58,94;90,76;45,82;50,30;87,32
42;N1;57,67;61,24;63,71;48,50;33,88;47,48;40,23;37,37;40,12;38,56
43;N1;58,58;63,86;65,67;65,47;47,07;77,92;91,45;62,92;65,67;88,44
44;N1;54,46;58,24;60,74;59,70;52,53;67,62;70,30;54,72;57,77;67,53
45;N1;87,33;97,54;94,33;73,85;87,00;66,35;20,07;53,23;55,74;19,45
46;N1;56,16;62,09;61,99;41,93;13,10;66,31;32,84;54,61;55,60;30,88
47;N1;67,48;69,14;73,10;57,90;22,61;68,75;70,70;52,57;59,45;68,10
48;N1;50,87;55,31;55,69;46,03;40,76;49,68;34,79;40,56;42,54;32,79
49;N1;69,86;74,77;72,81;73,32;52,74;68,21;99,70;53,66;59,10;95,92
50;N1;59,36;64,13;63,87;50,83;59,57;60,29;19,70;48,27;50,44;18,48
51;N1;70,48;73,15;72,07;59,80;36,95;53,17;62,16;40,96;45,52;59,41
52;N1;91,35;95,92;94,63;75,20;61,67;71,78;52,46;54,81;59,86;50,25
53;N1;52,19;55,02;55,36;48,70;24,61;55,48;65,36;41,97;45,50;23,00
54;N1;53,82;56,66;58,68;58,07;21,08;62,76;99,70;49,90;53,57;96,20
55;N1;94,77;98,60;98,38;76,40;86,73;51,98;26,94;39,32;44,42;25,83
56;N1;80,25;87,87;87,58;68,22;48,90;52,70;51,69;42,79;43,29;49,49
57;N1;73,43;82,96;78,72;65,10;32,70;73,20;68,84;59,52;60,70;66,50
58;N1;69,01;76,76;77,12;53,39;29,56;67,85;33,85;53,80;56,33;32,27
59;N1;41,91;47,52;47,78;58,87;45,00;69,40;99,70;53,55;57,95;96,70
60;N1;72,70;78,06;78,25;78,51;63,02;68,79;99,70;55,13;58,59;96,50
61;N1;54,68;59,39;59,06;40,03;7,83;66,09;38,52;53,00;55,46;36,83
62;N1;76,63;84,98;85,65;75,57;36,75;77,85;99,70;63,11;66,63;96,51
63;N1;58,38;62,45;63,70;55,39;45,79;70,80;54,43;54,76;61,20;52,31
64;N1;65,43;66,46;68,59;52,12;51,21;59,84;24,98;46,62;51,19;23,41
65;N1;52,08;60,63;56,70;64,32;46,48;80,06;99,70;64,17;67,64;96,51
66;N1;74,75;82,49;79,09;61,57;68,84;77,53;18,90;61,13;65,89;17,38
