"ID";"Edad";"Sexo";"NivelEducacion";"EstadoCivil";"NivelSocEco";"HorasLogeadas";"HorasHabladas";"ContactosEfectivosPromedio";"RegistrosTerminados";"ProdMayorUbral";"ProdPromAprobada"
1;32;"m";"un";"s";"c3c4";151.1525;45.8525;192.25;591.75;"si";334750
2;24;"m";"em";"s";"c3c4";71.18;24.76;1;501;"no";35587
3;29;"m";"em";"c";"c3c4";120.56;49.45;156;993;"si";312750
4;48;"f";"em";"c";"e";90.85;28.85;442;569;"no";15131
5;25;"m";"un";"s";"c3c4";190.18;41.16;0;0;"si";531400
6;30;"m";"em";"s";"c3c4";164.4583333;32.27333333;186.6666667;359.3333333;"si";318083.33
7;43;"f";"em";"c";"e";120.03875;38.265;105.5;209.375;"si";373750
8;31;"m";"em";"c";"c3c4";67.73333333;23.30333333;49.33333333;63;"si";184416.67
9;29;"f";"ts";"s";"c3c4";68.98666667;27.37;155.3333333;418.3333333;"no";79166.67
10;47;"m";"em";"s";"e";168.875;80.84166667;452;915.8333333;"si";335541.67
11;48;"m";"ts";"s";"c3c4";173.1625;55.745;347.75;1695.75;"si";302750
12;32;"f";"ts";"c";"c2";65.66;24.27;34;113;"no";66250
13;27;"f";"em";"s";"c3c4";85.04183333;21.32233333;233;300.5;"no";151279.33
14;22;"m";"em";"s";"c3c4";131.82225;21.54925;15.75;19.75;"si";392370.5
15;38;"f";"em";"c";"c3c4";145.5633333;44.34444444;53.88888889;378.1111111;"si";243833.33
16;27;"f";"ts";"s";"c3c4";226.2;57.45333333;61;594;"si";408000
17;24;"m";"un";"s";"c2";140.8966667;39.35333333;209.3333333;567.1666667;"si";392217.67
18;21;"m";"em";"s";"e";120.5575;51.02625;218.625;632.625;"si";267558.25
19;30;"m";"em";"s";"e";103.285;18.315;45;90.5;"no";83250
20;35;"m";"em";"s";"c3c4";142.405;49.16875;325;750.25;"si";472562.5
21;27;"f";"em";"s";"c3c4";174.6111111;81.78777778;231.3333333;951.3333333;"si";479444.44
22;32;"m";"em";"s";"e";125.02;54.59333333;373.6666667;555.6666667;"si";253333.33
23;30;"m";"un";"s";"c3c4";170.4422222;51.71;236.3333333;456.4444444;"si";279833.33
24;43;"m";"ts";"s";"e";195.02;83.53;0;567;"no";97514
25;28;"m";"ts";"s";"c3c4";156.3883333;87.81666667;413.3333333;934.1666667;"si";199833.33
26;47;"m";"em";"c";"c3c4";138.6135;48.623;808.25;855.625;"si";234085.13
27;27;"m";"ts";"s";"c3c4";53.495;14.3;122.5;257;"no";52250
28;26;"f";"em";"s";"e";134.795;39;122.5;283;"si";341375
29;21;"f";"em";"s";"c3c4";27.25;4.57;165;184;"no";0
30;28;"m";"em";"s";"c2";11.44;3.92;53;59;"no";0
31;26;"m";"ts";"s";"c3c4";62.11;24.52;88;487;"no";9250
32;26;"m";"un";"s";"c3c4";34.14;18.99;65;281;"no";10500
33;52;"f";"em";"c";"c2";37.36;13.005;60.5;193.5;"no";10000
34;31;"m";"ts";"s";"c3c4";39.41;14.44;58;113;"no";19500
35;31;"m";"em";"c";"e";66.74;34.6;168;484;"no";32250
36;31;"f";"em";"c";"e";33.26;7.765;29;133;"no";7500
37;28;"f";"em";"c";"e";40.461;10.998;0;22;"no";17629
38;28;"m";"un";"c";"e";15.2;3.42;17;24;"no";5000
39;24;"m";"ts";"s";"c3c4";15.2;3.23;0;0;"no";10500
40;37;"f";"ts";"c";"c3c4";63.78;16.81;280;344;"no";4000
41;31;"m";"un";"c";"c3c4";43.61;9.17;32;160;"no";25000
42;29;"m";"un";"s";"c2";31.14;19.17;56;319;"no";3500
43;24;"f";"em";"s";"e";43.476;12.825;0;0;"no";14026
44;21;"m";"ts";"s";"e";50.46;14.84;182;217;"no";0
