Id_Atención;Patente;Fecha;Hora_Acceso1;Turno;Posic1;Desp1;delta_1;HoraFechaPos1;HoraFechaDesp1;delta_2;Responsable;Tipo_carga;Min_Espera_O1;Min_Atención_O1;delta_3;Responsable_O1;delta_4;Responsable_O2;delta_5
46;CWJJ55-8;27-01-2017;8:29:00;T1;8:29:56;8:30:36;0,933333333;27-01-2017 8:29;27-01-2017 8:30;0,666666665;Inv1;Medicamentos;0,83;6,93;7,77;Inv4;34,67;Inv5;0,49
47;BZXV76-8;27-01-2017;8:31:00;T1;8:31:58;8:33:04;0,966666667;27-01-2017 8:31;27-01-2017 8:33;1,100000006;Inv1;Medicamentos;0,22;12,1;12,32;Inv4;72,6;Inv5;0,73
49;FTVC56-8;27-01-2017;8:34:00;T1;8:34:44;8:36:24;0,733333333;27-01-2017 8:34;27-01-2017 8:36;1,666666669;Inv1;Textil;1,1;1,83;2,93;Inv4;11;Inv5;0,55
51;NS1191-8;27-01-2017;8:34:00;T1;8:35:42;8:36:33;1,7;27-01-2017 8:35;27-01-2017 8:36;0,85;Inv1;Medicamentos;1,1;1,83;2,93;Inv4;9,17;Inv5;0,94
62;ZN8838-8;27-01-2017;8:40:00;T1;8:41:00;8:42:41;1;27-01-2017 8:41;27-01-2017 8:42;1,683333329;Inv1;Textil;2,13;2,2;4,33;Inv4;13,2;Inv5;0,22
63;VV6262-8;27-01-2017;8:40:00;T1;8:41:15;8:42:42;1,25;27-01-2017 8:41;27-01-2017 8:42;1,450000004;Inv1;Textos ;1,47;0,97;2,43;Inv4;5,8;Inv5;0,38
65;BFVZ33-8;27-01-2017;8:40:00;T1;8:42:43;8:44:13;2,716666667;27-01-2017 8:42;27-01-2017 8:44;1,499999994;Inv1;Textil;0,3;4,02;4,32;Inv4;12,05;Inv5;0,04
66;CJFZ75-8;27-01-2017;8:41:00;T1;8:42:59;8:44:55;1,983333333;27-01-2017 8:42;27-01-2017 8:44;1,933333335;Inv1;Textil;1,45;0,73;2,18;Inv4;3,67;Inv5;0,16
68;YR4811-8;27-01-2017;8:43:00;T1;8:44:41;8:46:39;1,683333333;27-01-2017 8:44;27-01-2017 8:46;1,966666665;Inv1;Textil;1,1;0,97;2,07;Inv4;3,87;Inv5;0,18
69;RB6258-8;27-01-2017;8:45:00;T1;8:45:46;8:49:00;0,766666667;27-01-2017 8:45;27-01-2017 8:49;3,233333324;Inv1;Textil;0,3;4,95;5,25;Inv4;14,85;Inv5;0,21
72;TA5623-8;27-01-2017;8:46:00;T1;8:48:01;8:49:37;2,016666667;27-01-2017 8:48;27-01-2017 8:49;1,600000007;Inv1;Textil;1,28;7,72;9;Inv4;30,87;Inv5;0,48
