Id_Atenci¢n;Fecha;Hora_Acceso1;Turno;Posic1;delta1;deltaMinuto1;Desp1;delta2;HoraFechaPos1;HoraFechaDesp1;deltafecha2;Responsable;Tipo_carga;Min_Espera_O1;Min_Atenci¢n_O1;SUMA_ATENCION_O1_delta_3;Responsable_O1;Min_Atenci¢n_O2_delta_4;Responsable_O2;Min_port_salida_delta_5
46;27-01-2017;8:29:00;T1;8:29:56;0:00:56;0.93333;8:30:36;0:00:40;27-01-17 8:29:56;27-01-17 8:30:36;0.666666665;Inv1;Medicamentos;0.83;6.93;7.77;Inv4;34.67;Inv5;0.49
47;27-01-2017;8:31:00;T1;8:31:58;0:00:58;0.96667;8:33:04;0:01:06;27-01-17 8:31:58;27-01-17 8:33:04;1.100000006;Inv1;Medicamentos;0.22;12.10;12.32;Inv4;72.60;Inv5;0.73
49;27-01-2017;8:34:00;T1;8:34:44;0:00:44;0.73333;8:36:24;0:01:40;27-01-17 8:34:44;27-01-17 8:36:24;1.666666669;Inv1;Textil;1.10;1.83;2.93;Inv4;11.00;Inv5;0.55
51;27-01-2017;8:34:00;T1;8:35:42;0:01:42;1.70000;8:36:33;0:00:51;27-01-17 8:35:42;27-01-17 8:36:33;0.85;Inv1;Medicamentos;1.10;1.83;2.93;Inv4;9.17;Inv5;0.94
62;27-01-2017;8:40:00;T1;8:41:00;0:01:00;1.00000;8:42:41;0:01:41;27-01-17 8:41:00;27-01-17 8:42:41;1.683333329;Inv1;Textil;2.13;2.20;4.33;Inv4;13.20;Inv5;0.22
63;27-01-2017;8:40:00;T1;8:41:15;0:01:15;1.25000;8:42:42;0:01:27;27-01-17 8:41:15;27-01-17 8:42:42;1.450000004;Inv1;Textos ;1.47;0.97;2.43;Inv4;5.80;Inv5;0.38
65;27-01-2017;8:40:00;T1;8:42:43;0:02:43;2.71667;8:44:13;0:01:30;27-01-17 8:42:43;27-01-17 8:44:13;1.499999994;Inv1;Textil;0.30;4.02;4.32;Inv4;12.05;Inv5;0.04
66;27-01-2017;8:41:00;T1;8:42:59;0:01:59;1.98333;8:44:55;0:01:56;27-01-17 8:42:59;27-01-17 8:44:55;1.933333335;Inv1;Textil;1.45;0.73;2.18;Inv4;3.67;Inv5;0.16
68;27-01-2017;8:43:00;T1;8:44:41;0:01:41;1.68333;8:46:39;0:01:58;27-01-17 8:44:41;27-01-17 8:46:39;1.966666665;Inv1;Textil;1.10;0.97;2.07;Inv4;3.87;Inv5;0.18
69;27-01-2017;8:45:00;T1;8:45:46;0:00:46;0.76667;8:49:00;0:03:14;27-01-17 8:45:46;27-01-17 8:49:00;3.233333324;Inv1;Textil;0.30;4.95;5.25;Inv4;14.85;Inv5;0.21
